Dataset,Model,Method,Balanced_Accuracy,Flag Rate,Total_Tokens,LLM_Calls,Retrieval_Calls,Latency_Sec,Δ Bal.Acc. (%),Δ Tokens (%)
scifact,Qwen3-4B-Instruct-2507,Always Retrieve,0.760 ± 0.000,100.0% ± 0.0%,553 ± 1,1.00 ± 0.00,1.00 ± 0.00,1.70s ± 0.01s,+0.0%,+0.0%
scifact,Qwen3-4B-Instruct-2507,Granular,0.739 ± 0.000,0.0% ± 0.0%,1272 ± 1,2.63 ± 0.00,1.63 ± 0.00,3.23s ± 0.03s,-2.7%,+130.0%
scifact,Qwen3-4B-Instruct-2507,Ensemble,0.718 ± 0.006,76.3% ± 0.9%,600 ± 5,1.76 ± 0.01,0.76 ± 0.01,1.43s ± 0.03s,-5.5%,+8.6%
scifact,Qwen3-4B-Instruct-2507,MaxSeqProb [Logic Check On],0.695 ± 0.000,76.3% ± 0.0%,591 ± 0,1.76 ± 0.00,0.76 ± 0.00,1.38s ± 0.01s,-8.5%,+6.8%
scifact,Qwen3-4B-Instruct-2507,Perplexity [Logic Check On],0.695 ± 0.000,76.3% ± 0.0%,590 ± 0,1.76 ± 0.00,0.76 ± 0.00,1.39s ± 0.00s,-8.5%,+6.8%
scifact,Qwen3-4B-Instruct-2507,MeanTokEnt [Logic Check On],0.669 ± 0.000,70.0% ± 0.0%,559 ± 0,1.70 ± 0.00,0.70 ± 0.00,1.28s ± 0.02s,-11.9%,+1.1%
scifact,Qwen3-4B-Instruct-2507,Ensemble [Logic Check On],0.628 ± 0.005,39.3% ± 1.1%,674 ± 6,3.39 ± 0.01,0.39 ± 0.01,1.26s ± 0.02s,-17.4%,+21.9%
scifact,Qwen3-4B-Instruct-2507,LogicalContradiction [Logic Check On],0.612 ± 0.000,35.7% ± 0.0%,653 ± 0,3.36 ± 0.00,0.36 ± 0.00,1.21s ± 0.01s,-19.4%,+18.0%
scifact,Mistral-7B-Instruct-v0.3,Parametric (0% RAG),0.438 ± 0.000,0.0% ± 0.0%,253 ± 0,1.00 ± 0.00,0.00 ± 0.00,0.11s ± 0.00s,-37.4%,-64.1%
scifact,Mistral-7B-Instruct-v0.3,Always Retrieve,0.699 ± 0.000,100.0% ± 0.0%,705 ± 1,1.00 ± 0.00,1.00 ± 0.00,1.76s ± 0.00s,+0.0%,+0.0%
scifact,Mistral-7B-Instruct-v0.3,Granular,0.625 ± 0.000,0.0% ± 0.0%,2130 ± 1,3.15 ± 0.00,2.15 ± 0.00,5.00s ± 0.03s,-10.7%,+202.3%
scifact,Mistral-7B-Instruct-v0.3,MeanTokEnt [Logic Check On],0.672 ± 0.000,58.0% ± 0.0%,672 ± 0,1.58 ± 0.00,0.58 ± 0.00,1.15s ± 0.01s,-3.9%,-4.6%
scifact,Mistral-7B-Instruct-v0.3,Ensemble [Logic Check On],0.666 ± 0.009,52.4% ± 2.7%,1006 ± 19,3.53 ± 0.03,0.53 ± 0.03,1.94s ± 0.05s,-4.8%,+42.8%
scifact,Mistral-7B-Instruct-v0.3,MaxSeqProb [Logic Check On],0.627 ± 0.041,51.0% ± 13.7%,622 ± 99,1.51 ± 0.14,0.51 ± 0.14,1.04s ± 0.25s,-10.4%,-11.7%
scifact,Mistral-7B-Instruct-v0.3,Ensemble,0.616 ± 0.033,46.0% ± 7.5%,584 ± 57,1.46 ± 0.08,0.46 ± 0.08,0.94s ± 0.14s,-11.9%,-17.2%
scifact,Mistral-7B-Instruct-v0.3,Perplexity [Logic Check On],0.610 ± 0.017,46.7% ± 3.3%,586 ± 25,1.46 ± 0.03,0.46 ± 0.03,0.96s ± 0.06s,-12.8%,-16.8%
scifact,Mistral-7B-Instruct-v0.3,LogicalContradiction [Logic Check On],0.555 ± 0.007,27.0% ± 0.3%,827 ± 3,3.27 ± 0.00,0.27 ± 0.00,1.51s ± 0.01s,-20.6%,+17.4%
